Peptic ulceration
=================
76125	Cautery resect gastric ulcer
j28h.	*IBUMETIN 400mg tablets
j28H.	*CODAFEN CONTINUS m/r tablets
j28i.	*IBUMETIN 600mg tablets
j28I.	NUROFEN PLUS tablets
j28j.	*MOTRIN 200mg tablets
j28J.	*JUNIFEN 100mg/5mL s/f susp
j28k.	*MOTRIN 400mg tablets
j28K.	*IBUMED 400mg tablets
j28l.	*MOTRIN 600mg tablets
j28m.	*PAXOFEN 200mg tablets
j28M.	*RIMAFEN 200mg tablets
j28n.	*PAXOFEN 400mg tablets
j28N.	*RIMAFEN 400mg tablets
j28o.	*PAXOFEN 600mg tablets
j28O.	IBUPRO+CODEINE 200/12.5mg tabs
j28p.	*MOTRIN 800mg tablets
j28P.	IBUPROFEN 600mg/sach eff grans
j28q.	*ARTHROFEN 200mg tablets
j28r.	ARTHROFEN 400mg tablets
j28R.	*INOVEN 200mg caplets
j28s.	JUNIFEN 100mg/5mL susp 150mL
j28S.	RELCOFEN 200mg tablets
j28t.	*ARTHROFEN 600mg tablets
j28T.	*RELCOFEN 400mg tablets
j28u.	*IBUPROFEN 800mg tablets
j28U.	SOLPAFLEX tablets
j28v.	BRUFEN 600mg granules
j28V.	IBUPRO+CODEINE 200/12.8mg tabs
j28w.	IBUPROFEN 100mg/5mL syrup
j28W.	*ADVIL 200mg tablets
j28x.	IBUPROFEN 200mg m/r capsules
j28X.	*ADVIL EXTRA STRENGTH tablets
j28y.	IBUPROFEN 300mg m/r capsules
j28Y.	IBUPROFEN 100mg/5mL s/f syrup
j28z.	*IBUPR+CODEIN 300/20mg m/r tab
j28Z.	ANADIN IBUPROFEN 200mg tablets
j29..	INDOMETACIN
j291.	INDOMETACIN 25mg capsules
j292.	INDOMETACIN 50mg capsules
j294.	ARTRACIN 25mg capsules
j295.	ARTRACIN 50mg capsules
j296.	*IMBRILON 25mg capsules
j297.	*IMBRILON 50mg capsules
j299.	*INDOCID 25mg capsules
j29a.	*INDOCID 50mg capsules
j29A.	*INDOMETACIN 75mg m/r tablets
j29b.	*INDOCID 25mg/5mL suspension
j29B.	*FLEXIN CONTINUS 25mg m/r tabs
j29C.	*FLEXIN CONTIN LS 50mg m/r tab
j29d.	*INDOCID-R 75mg m/r capsules
j29D.	*INDOMETACIN 50mg m/r tablets
j29e.	*INDOFLEX 25mg capsules
j29E.	*INDOMETACIN 25mg m/r tablets
j29f.	*INDOLAR 25mg capsules
j29F.	*RIMACID 25mg capsules
j29g.	*INDOLAR 50mg capsules
j29G.	*ARTRACIN SR 75mg m/r capsules
j29H.	*MAXIMET SR 75mg m/r capsules
j29i.	INDOLAR SR 75mg m/r capsules
j29j.	*INDOMOD 25mg m/r capsules
j29J.	*INDOTARD MR 75mg m/r capsules
j29k.	*INDOMOD 75mg m/r capsules
j29K.	PARDELPRIN MR 75mg m/r caps
j29l.	*MOBILAN 25mg capsules
j29m.	*MOBILAN 50mg capsules
j29n.	*RHEUMACIN LA 75mg m/r caps
j29o.	*SLO-INDO 75mg m/r capsules
j29p.	*FLEXIN CONTINUS 75mg m/r tabs
j29r.	*INDOMAX 25mg capsules
j29s.	*INDOMAX 75mg m/r capsules
j29t.	*RHEUMACIN LA 75mg m/r caps
j29u.	BERLIND 75 RETARD 75mg m/r cap
j29w.	*INDOMETHACIN 25mg/5mL susp
j29y.	INDOMETACIN 75mg m/r capsules
j29z.	*INDOMETACIN 25mg m/r capsules
j2a..	KETOPROFEN
j2a1.	KETOPROFEN 50mg capsules
j2a2.	KETOPROFEN 100mg capsules
j2a4.	*ALRHEUMAT 50mg capsules
j2a5.	*ORUDIS 50mg capsules
j2a6.	*ORUDIS 100mg capsules
j2a8.	ORUVAIL 100mg m/r capsules
j2a9.	ORUVAIL 200mg m/r capsules
j2aA.	KETOPROFEN CR 100mg m/r caps
j2ab.	TILOKET 50mg capsules
j2aB.	KETOPROFEN CR 200mg m/r caps
j2ac.	AXORID 100mg/20mg m/r capsules
j2aC.	KETOVAIL 100mg m/r capsules
j2ad.	AXORID 200mg/20mg m/r capsules
j2aD.	KETOVAIL 200mg m/r capsules
j2aE.	KETONAL 50mg capsules
j2aF.	KETONAL 100mg capsules
j2aG.	ORUVAIL 150mg m/r capsules
j2aH.	LARAFEN CR 200mg m/r capsules
j2aI.	KETOCID-200 m/r capsules
j2aJ.	*FENOKET 200mg m/r capsules
j2aK.	*KETOZIP CR 200mg m/r capsules
j2aL.	*KETOTARD 200 XL m/r capsules
j2aM.	*JOMETHID XL 200mg m/r caps
j2aO.	*KETPRON XL 100mg m/r capsules
j2aP.	*KETPRON XL 200mg m/r capsules
j2aQ.	KETIL CR 100mg m/r capsules
j2aR.	KETIL CR 200mg m/r capsules
j2aS.	VALKET RETARD 200mg m/r caps
j2au.	KETPRFN+OMEP 200/20mg m/r caps
j2av.	KETPRFN+OMEP 100/20mg m/r caps
j2aw.	KETOPROFEN 150mg m/r capsules
j2ay.	KETOPROFEN 100mg m/r capsules
j2az.	KETOPROFEN 200mg m/r capsules
j2b..	MEFENAMIC ACID [MUSCULO-SKEL]
j2b1.	MEFENAMIC ACID 250mg capsules
j2b2.	PONSTAN 250mg capsules
j2b3.	PONSTAN FORTE 500mg tablets
j2b4.	*PONSTAN 50mg/5mL paed susp
j2b5.	*PONSTAN 250mg disp tablets
j2b6.	*DYSMAN 250mg capsules
j2b7.	*DYSMAN 500mg tablets
j2b8.	*CONTRAFLAM 250mg capsules
j2b9.	*MEFLAM-250 capsules
j2bA.	*MEFLAM-500 tablets
j2bB.	*OPUSTAN 250mg capsules
j2bC.	*OPUSTAN 500mg tablets
j2bD.	*CONTRAFLAM 500mg tablets
j2bx.	MEFENAMIC ACID 500mg tablets
j2by.	MEFENAMIC ACID 50mg/5mL susp
j2bz.	*MEFENAMIC AC 250mg disp tabs
j2c..	NAPROXEN
j2c1.	NAPROXEN 250mg tablets
j2c2.	NAPROXEN 500mg tablets
j2c3.	*LARAFLEX 250mg tablets
j2c4.	*LARAFLEX 500mg tablets
j2c5.	NAPROSYN 250mg tablets
j2c6.	NAPROSYN 500mg tablets
j2c7.	*NAPROSYN 125mg/5mL suspension
j2c9.	*NAPROSYN granules 500mg/sach
j2ca.	*VALROX 250mg tablets
j2cA.	*RHEUFLEX 250mg tablets
j2cb.	*VALROX 500mg tablets
j2cB.	*RHEUFLEX 500mg tablets
j2cc.	*ARTHROSIN 250mg tablets
j2cC.	*PRANOXEN CONT 375mg m/r tabs
j2cd.	*ARTHROSIN 500mg tablets
j2cD.	*PRANOXEN CONT 500mg m/r tabs
j2ce.	*ARTHROXEN 250mg tablets
j2cE.	*NAPROSYN S/R 500mg m/r tabs
j2cf.	*ARTHROXEN 500mg tablets
j2cF.	*TIMPRON 500mg tablets
j2cg.	*NAPROSYN 375mg tablets
j2cG.	*RIMOXYN 500mg tablets
j2ch.	*NAPROXEN 375mg tablets
j2cH.	*RIMOXYN 250mg tablets
j2ci.	*NYCOPREN 250mg e/c tablets
j2cI.	*TIMPRON 250mg tablets
j2cj.	*NYCOPREN 500mg e/c tablets
j2cJ.	*TIMPRON 250 EC e/c tablets
j2ck.	NAPROXEN 250mg e/c tablets
j2cK.	*TIMPRON 500 EC e/c tablets
j2cl.	NAPROXEN 500mg e/c tablets
j2cL.	*CONDROTEC tablets
j2cm.	*PROSAID 250mg tablets
j2cM.	*ARTHROSIN 250mg e/c tablets
j2cn.	*PROSAID 500mg tablets
j2cN.	*ARTHROSIN 500mg e/c tablets
j2co.	NAPROSYN EC 250mg e/c tablets
j2cO.	FEMINAX ULTRA 250mg tablets
j2cp.	NAPROSYN EC 375mg e/c tablets
j2cP.	VIMOVO 500mg/20mg m/r tablets
j2cq.	NAPROSYN EC 500mg e/c tablets
j2cr.	NAPRATEC 500mg/0.2mg tabs 2x56
j2cs.	*NAPROXEN 375mg m/r tablets
j2ct.	*NAPROXEN 500mg m/r tablets
j2cu.	NAPROX tab+MISOPROST tab pack
j2cv.	*NAPROXEN granules 500mg/sach
j2cw.	NAPROXEN 375mg e/c tablets
j2cx.	*NAPROX+MISOP 500mg/200mcg tab
j2cy.	*NAPROXEN 125mg/5mL suspension
j2cZ.	NAPROX+ESOMEP 500/20mg m/r tab
j2d..	PHENYLBUTAZONE
j2d1.	PHENYLBUTAZONE 100mg tablets
j2d2.	PHENYLBUTAZONE 200mg tablets
j2d3.	*BUTACOTE 100mg tablets
j2d4.	*BUTACOTE 200mg tablets
j2d5.	*BUTAZOLIDIN 100mg tablets
j2d6.	*BUTAZOLIDIN 200mg tablets
j2d7.	BUTAZONE 100mg tablets
j2d8.	BUTAZONE 200mg tablets
j2e..	PIROXICAM
j2e1.	PIROXICAM 10mg capsules
j2e2.	PIROXICAM 20mg capsules
j2e3.	FELDENE 10mg capsules
j2e4.	FELDENE 20mg capsules
j2e5.	*FELDENE 10mg disp tablets
j2e6.	*FELDENE 20mg disp tablets
j2e8.	*LARAPAM 10mg capsules
j2e9.	*LARAPAM 20mg capsules
j2ea.	*PIROZIP 10mg capsules
j2eA.	*PIROFLAM-10 capsules
j2eb.	*PIROZIP 20mg capsules
j2eB.	*PIROFLAM-20 capsules
j2ec.	FELDENE MELT 20mg tablets
j2ee.	*FLAMATROL 10mg capsules
j2ef.	*FLAMATROL 20mg capsules
j2ew.	PIROXICAM 20mg melt tablets
j2ex.	PIROXICAM 10mg disp tablets
j2ey.	PIROXICAM 20mg disp tablets
j2f..	SULINDAC
j2f1.	*CLINORIL 100mg tablets
j2f2.	*CLINORIL 200mg tablets
j2fy.	SULINDAC 100mg tablets
j2fz.	SULINDAC 200mg tablets
j2g..	TIAPROFENIC ACID
j2g1.	*SURGAM 200mg tablets
j2g2.	SURGAM 300mg tablets
j2g3.	*SURGAM granules 300mg/sachet
j2g4.	*SURGAM SA 300mg m/r capsules
j2g5.	*TIAPROFENIC AC 300mg m/r caps
j2gx.	*TIAPROFENIC ACID 200mg tabs
j2gy.	TIAPROFENIC ACID 300mg tablets
j2gz.	*TIAPROFEN AC grans 300mg/sach
j2h..	TOLMETIN
j2h1.	*TOLECTIN DS 400mg capsules
j2h2.	*TOLECTIN 200mg capsules
j2h3.	*TOLECTIN 400mg capsules
j2hy.	*TOLMETIN 200mg capsules
j2hz.	*TOLMETIN 400mg capsules
j2i..	PIROXICAM-BETADEX
j2i1.	PIROXICAM-BETADEX 191.3mg tabs
j2i2.	BREXIDOL 20mg tablets
j2j..	ACEMETACIN
j2j1.	ACEMETACIN 60mg capsules
j2j2.	EMFLEX 60mg capsules
j2k..	NABUMETONE
j2k1.	RELIFEX 500mg tablets
j2k2.	NABUMETONE 500mg tablets
j2k3.	RELIFEX 500mg/5mL suspension
j2k4.	NABUMETONE 500mg/5mL susp
j2k5.	*RELIFEX 500mg disp tabs
j2k6.	*NABUMETONE 500mg disp tabs
j2l..	TENOXICAM
j2l1.	TENOXICAM 20mg tablets
j2l2.	MOBIFLEX 20mg tablets
j2l3.	*TENOXICAM 20mg/sachet grans
j2l4.	*MOBIFLEX 20mg/sachet granules
j2l5.	*TENOXICAM 20mg eff tabs
j2l6.	*MOBIFLEX 20mg eff tabs
j2m..	ACECLOFENAC
j2m1.	PRESERVEX 100mg tablets
j2m2.	ACECLOFENAC 100mg tablets
j2n..	MELOXICAM
j2n2.	MELOXICAM 7.5mg tablets
j2n3.	MELOXICAM 15mg tablets
j2n5.	*MOBIC 7.5mg tablets
j2n6.	*MOBIC 15mg tablets
j2o..	DICLOFENAC SODIUM 2
j2o1.	DICLOFLEX SR 75mg m/r tablets
j2o2.	*FLAMATAK MR 75mg m/r tablets
j2o3.	*DIFENOR XL 100mg m/r tablets
j2o4.	DICLOVOL 25mg e/c tablets
j2o5.	DICLOVOL 50mg e/c tablets
j2o6.	DICLOVOL SR 75mg m/r tablets
j2o7.	*DICLOVOL RETARD 100mg m/r tab
j2o8.	DEXOMON SR 75mg m/r tablets
j2o9.	DEXOMON RETARD 100mg m/r tabs
j2oA.	*ACOFLAM SR 75mg m/r tablets
j2oB.	*ACOFLAM 50mg e/c tablets
j2oC.	*ACOFLAM 25mg e/c tablets
j2oD.	*ACOFLAM RETARD 100mg m/r tabs
j2oE.	FLAMATAK MR 100mg m/r tablets
j2oF.	RHEUMATAC RETARD 75mg m/r tabs
j2oG.	FLAMRASE SR 75mg m/r tablets
j2oJ.	*CLOSTERIL 100 m/r tablets
j2ol.	DEFANAC SR 75mg m/r tablets
j2oL.	RHUMALGAN XL 100mg m/r caps
j2om.	DEFANAC RETARD 100mg m/r tabs
j2oM.	RHUMALGAN SR 75mg m/r capsules
j2oo.	*DEFANAC 25mg e/c tablets
j2op.	*DEFANAC 50mg e/c tablets
j2oq.	*FENACTOL 25mg e/c tablets
j2or.	FENACTOL 50mg e/c tablets
j2os.	FENACTOL SR 75mg m/r tablets
j2ot.	FENACTOL RETARD 100mg m/r tabs
j2ou.	*VALDIC 75 RETRD 75mg m/r tabs
j2ov.	*VALDIC 100 RETARD m/r tabs
j2ow.	ECONAC SR 75mg m/r tablets
j2ox.	ECONAC XL 100mg m/r tablets
j2p..	IBUPROFEN [MUSC-SKEL USE 2]
j2p1.	*NUROFEN ADVANCE 200mg tablets
j2p2.	NUROFEN FOR CHILDREN susp
j2p3.	NUROFEN LONG LASTING m/r caps
j2p4.	GALPROFEN 100mg/5mL suspension
j2p5.	LIBROFEM 200mg tablets
j2p6.	ORBIFEN FOR CHILDREN s/f susp
j2p7.	MANDAFEN 600mg tablets
j2p8.	FEVERFEN 100mg/5mL s/f susp
j2p9.	NUROFEN FOR CHILDN singls susp
j2pa.	IBUCALM 400mg tablets
j2pA.	IBUPROFEN 100mg/5mL sachets
j2pb.	NUROFEN EXPRESS 400mg/sach pdr
j2pB.	MANDAFEN 400mg tablets
j2pc.	IBUPROFEN 400mg/sachet pdr
j2pC.	ORBIFEN 100mg/5mL s/f susp
j2pD.	NUROFEN MOBILE 200mg tablets
j2pE.	FENPAED 100mg/5mL s/f susp
j2pF.	MANDAFEN 100mg/5mL s/f susp
j2pG.	CUPROFEN 100mg/5mL s/f susp
j2pH.	NUROFEN 200mg tablets
j2pI.	NUROFEN 200mg caplets
j2pJ.	IBUPROFEN 200mg capsules
j2pK.	NUROFEN 200mg liquid capsules
j2pL.	CALPROFEN 100mg/5mL s/f susp
j2pM.	CUPROFEN PLUS tablets
j2pN.	ORBIFEN 100mg/5mL s/f sachets
j2pO.	CARE IBUPRO 100mg/5mL s/f susp
j2pP.	NUROFEN FOR CHILDRN stbry susp
j2pQ.	GALPROFEN IBUPROF 200mg caplet
j2pR.	LLOYDS IBUPROFN 100mg/5mL susp
j2pS.	NUROFEN TENSION HEADACHE tabs
j2pT.	SOLPADEINE MIGRAINE IBU+COD
j2pU.	NUROFEN MAXIMUM 400mg Caplets
j2pV.	NUROFEN EXTRA 400mg caps
j2pW.	IBUPROFEN 400mg capsules
j2pX.	ANADIN ULTRA D/S 400mg caps
j2pY.	GALPHARM MAX IBPRFN 400mg caps
j2pZ.	IBUCALM 200mg tablets
j2q..	DEXKETOPROFEN
j2q1.	KERAL 25mg tablets
j2qz.	DEXKETOPROFEN 25mg tablets
j2r..	DICLOFENAC POTASSIUM
j2r1.	VOLTAROL RAPID 25mg tablets
j2r2.	VOLTAROL RAPID 50mg tablets
j2r3.	VOLTAROL PAIN-EZE 12.5mg tabs
j2rx.	DICLOFENC POTSSIUM 12.5mg tabs
j2ry.	DICLOFENAC POTASSIUM 25mg tabs
j2rz.	DICLOFENAC POTASSIUM 50mg tabs
j2s..	LORNOXICAM
j2s1.	*XEFO 4mg tablets
j2s2.	*XEFO 8mg tablets
j2sy.	*LORNOXICAM 8mg tablets
j2sz.	*LORNOXICAM 4mg tablets
j2t..	DEXIBUPROFEN
j2t1.	SERACTIL 400mg tablets
j2t2.	SERACTIL 300mg tablets
j2ty.	DEXIBUPROFEN 300mg tablets
j2tz.	DEXIBUPROFEN 400mg tablets
jA...	COX-2 INHIBITOR DRUG
jA1..	*ROFECOXIB
jA11.	*VIOXX 12.5mg tablets
jA12.	*VIOXX 25mg tablets
jA13.	*VIOXX 12.5mg/5mL suspension
jA14.	*VIOXX 25mg/5mL suspension
jA15.	*VIOXXACUTE 25mg tablets
jA16.	*VIOXXACUTE 50mg tablets
jA1v.	*ROFECOXIB 50mg tablets
jA1w.	*ROFECOXIB 12.5mg tablets
jA1x.	*ROFECOXIB 25mg tablets
jA1y.	*ROFECOXIB 12.5mg/5mL susp
jA1z.	*ROFECOXIB 25mg/5mL suspension
jA2..	CELECOXIB
jA21.	CELEBREX 100mg capsules
jA22.	CELEBREX 200mg capsules
jA23.	*ONSENAL 400mg capsules
jA2x.	*CELECOXIB 400mg capsules
jA2y.	CELECOXIB 200mg capsules
jA2z.	CELECOXIB 100mg capsules
jA5..	ETORICOXIB
jA51.	ETORICOXIB 60mg tablets
jA52.	ETORICOXIB 90mg tablets
jA53.	ETORICOXIB 120mg tablets
jA54.	ARCOXIA 60mg tablets
jA55.	ARCOXIA 90mg tablets
jA56.	ARCOXIA 120mg tablets
jA57.	ARCOXIA 30mg tablets
jA58.	ETORICOXIB 30mg tablets
jA6..	*VALDECOXIB
jA61.	*VALDECOXIB 10mg tablets
jA62.	*VALDECOXIB 20mg tablets
jA63.	*VALDECOXIB 40mg tablets
jA6x.	*BEXTRA 10mg tablets
jA6y.	*BEXTRA 20mg tablets
jA6z.	*BEXTRA 40mg tablets
jA7..	*LUMIRACOXIB
jA71.	*PREXIGE 100mg tablets
jA72.	*PREXIGE 400mg tablets
jA7y.	*LUMIRACOXIB 400mg tablets
jA7z.	*LUMIRACOXIB 100mg tablets
JOM/4512NEMIS	Jomethid Xl  M/R capsules  200
JUSU9285BRIDL	Junifen  Suspension  100 mg/5 
KECA1569	Ketoprofen  Capsules  100 mg
KECA1570	Ketoprofen  Capsules  200 mg
KECA1571	Ketoprofen  Capsules  50 mg
KECA8761BRIDL	Ketoprofen  M/R capsules  100 
KECA8763BRIDL	Ketoprofen  M/R capsules  200 
KEM/1548NEMIS	Ketil Cr  M/R capsules  100 mg
KEM/1549NEMIS	Ketil Cr  M/R capsules  200 mg
KEM/24099EMIS	Ketoprofen  M/R capsules  150 
KEM/24273EMIS	Ketovail  M/R capsules  100 mg
KEM/24274EMIS	Ketovail  M/R capsules  200 mg
KEM/26315EMIS	Ketocid  M/R capsules  200 mg
KEM/26658EMIS	Ketozip Xl  M/R capsules  200 
KEM/39417NEMIS	Ketoprofen And Omeprazole  M/R
KEM/39418NEMIS	Ketoprofen And Omeprazole  M/R
KETA21933EMIS	Ketorolac Trometamol  Tablets 
KETA50005EMIS	Keral  Tablets  25 mg
LACA1607	Larapam (Piroxicam)  Capsules 
LACA1608	Larapam (Piroxicam)  Capsules 
LAM/4222NEMIS	Larafen Cr  M/R capsules  200 
LATA1605	Laraflex  Tablets  250 mg
LATA1606	Laraflex  Tablets  500 mg
LECA1637	Lederfen  Capsules  300 mg
LEEF9723BRIDL	Lederfen  Effervescent tablets
LETA10497BRIDL	Lederfen  Tablets  450 mg
LETA1638	Lederfen  Tablets  300 mg
LETA1639	Lederfen F  Tablets  450 mg
lf3..	FLURBIPROFEN [OROPHARYNGEAL]
lf31.	*STREFEN 8.75mg lozenges
lf32.	*STREFLAM 8.75mg lozenges
lf33.	STREFEN HONEY+LEMON 8.75mg loz
lf3z.	FLURBIPROFEN 8.75mg lozenges
LITA19741EMIS	Lidifen-F  Tablets  600 mg
LITA34263EMIS	Librofem  Tablets  200 mg
LITA9957BRIDL	Lidifen  Tablets  200 mg
LITA9959BRIDL	Lidifen  Tablets  400 mg
LOCA1682	Lodine  Capsules  200 mg
LOCA9511BRIDL	Lodine  Capsules  300 mg
LOM/24008EMIS	Lodine Sr  M/R tablets  600 mg
LOM/29323EMIS	Lofensaid Retard  M/R tablets 
LOM/29324EMIS	Lofensaid Retard  M/R tablets 
LOTA10616BRIDL	Lodine  Tablets  200 mg
LOTA11601NEMIS	Lornoxicam  Tablets  4 mg
LOTA11603NEMIS	Lornoxicam  Tablets  8 mg
LOTA27240EMIS	Lofensaid  Tablets  25 mg
LOTA27241EMIS	Lofensaid  Tablets  50 mg
LUTA18907NEMIS	Lumiracoxib  Tablets  100 mg
LUTA18910NEMIS	Lumiracoxib  Tablets  400 mg
MAM/26319EMIS	Maximet Sr  M/R capsules  75 m
MECA1751	Mefenamic Acid  Capsules  250 
MECA26322EMIS	Meflam  Capsules  250 mg
MEDI7045	Mefenamic Acid  Dispersible ta
MEPA1752	Mefenamic Acid  Paediatric sus
MESU11938NEMIS	Mefenamic Acid  Suspension  50
META1753	Mefenamic Acid  Tablets  500 m
META26323EMIS	Meflam  Tablets  500 mg
META28880EMIS	Meloxicam  Tablets  15 mg
META28881EMIS	Meloxicam  Tablets  7.5 mg
MOCAEGTON6138	Mobilan  Capsules  25 mg
MOCAEGTON6139	Mobilan  Capsules  50 mg
MOEF23713EMIS	Mobiflex  Effervescent tablets
MOGR22483EMIS	Mobiflex  Granules  20 mg/sach
MOM/25331EMIS	Motifene  E/C, M/R capsules  7
MOTA28874EMIS	Mobic  Tablets  15 mg
MOTA28875EMIS	Mobic  Tablets  7.5 mg
MOTA8330EGTON	Mobiflex  Tablets  20 mg
MOTAEGTON6116	Motrin  Tablets  200 mg
MOTAEGTON6117	Motrin  Tablets  400 mg
MOTAEGTON6118	Motrin  Tablets  600 mg
MOTAEGTON6119	Motrin  Tablets  800 mg
NADI14482NEMIS	Nabumetone  Dispersible tablet
NAE/9202EMIS	Naproxen  E/c tablets  250 mg
NAE/9203EMIS	Naproxen  E/c tablets  500 mg
NAE/9385EMIS	Naprosyn  E/c tablets  250 mg
NAE/9386EMIS	Naprosyn  E/c tablets  375 mg
NAE/9387EMIS	Naprosyn  E/c tablets  500 mg
NAE/9389EMIS	Naproxen  E/c tablets  375 mg
NAGR1933	Naprosyn  Granules  500 mg
NAGR5187	Naproxen  Granules  500 mg
NAM/21940EMIS	Naproxen  M/R tablets  375 mg
NAM/21941EMIS	Naproxen  M/R tablets  500 mg
NAM/23440EMIS	Naprosyn Sr  M/R tablets  500 
NAM/47266NEMIS	Naproxen And Esomeprazole  M/R
NASU1935	Naprosyn  Suspension  125 mg/5
NASU5188	Naproxen  Oral suspension  125
NASU9734HILLI	Nabumetone  Suspension  Sugar 
NATA18046EMIS	Napratec OP  Tablets  
NATA1936	Naprosyn  Tablets  250 mg
NATA1937	Naprosyn  Tablets  500 mg
NATA1938	Naproxen  Tablets  250 mg
NATA1939	Naproxen  Tablets  500 mg
NATA19446NEMIS	Naproxen And Misoprostol  Tabl
NATA5182	Nabumetone  Tablets  500 mg
NATA5189	Naproxen Sodium  Tablets  275 
NATA9272EMIS	Naprosyn  Tablets  375 mg
NATA9274EMIS	Naproxen  Tablets  375 mg
NUCA16141NEMIS	Nurofen  Caplets  200 mg
NUDI14332NEMIS	Nurofen Meltlets  Dissolving T
NULI16149NEMIS	Nurofen  Liquid Capsules  200 
NUM/19692NEMIS	Nurofen Back Pain Sr  M/R caps
NUS/11319NEMIS	Nurofen Long Lasting  S/r caps
NUSU34990EMIS	Nurofen For Children  Sugar-fr
NUTA11316NEMIS	Nurofen Advance  Tablets  
NUTA25108NEMIS	Nurofen Cold & Flu  Tablets  
NUTA5832NEMIS	Nurofen Plus  Tablets  
NYE/9198EMIS	Nycopren  E/c tablets  250 mg
NYE/9199EMIS	Nycopren  E/c tablets  500 mg
o4a3.	*KETOROLAC TROMETAMOL 10mg tab
o4a4.	*TORADOL 10mg tablets
ONCA43612NEMIS	Onsenal  Capsules  400 mg
OPCA26353EMIS	Opustan  Capsules  250 mg
OPTA26354EMIS	Opustan  Tablets  500 mg
ORCA2112	Orudis  Capsules  100 mg
ORCA2113	Orudis  Capsules  50 mg
ORCA2115	Oruvail  M/R capsules  100 mg
ORCA2116	Oruvail  S/r capsules  200 mg
ORM/24097EMIS	Oruvail  M/R capsules  150 mg
ORM/24102EMIS	Oruvail  M/R capsules  200 mg
ORSU13785NEMIS	Orbifen  Sugar-free oral suspe
PAM/4515NEMIS	Pardelprin  M/R capsules  75 m
PATA51116NEMIS	Paracetamol And Ibuprofen  Tab
PATAEGTON6129	Paxofen  Tablets  200 mg
PATAEGTON6130	Paxofen  Tablets  400 mg
PATAEGTON6131	Paxofen  Tablets  600 mg
PHTA5277	Phenylbutazone  Tablets  100 m
PHTA6826	Phenylbutazone  Tablets  200 m
PICA10786BRIDL	Pirozip 10  Capsules  10 mg
PICA10788BRIDL	Pirozip 20  Capsules  20 mg
PICA2279	Piroxicam  Capsules  10 mg
PICA2280	Piroxicam  Capsules  20 mg
PICA26328EMIS	Piroflam  Capsules  10 mg
PICA26329EMIS	Piroflam  Capsules  20 mg
PICA36548MGEMIS	Piroxicam  Capsules  20 mg (Iv
PICA36549MGEMIS	Piroxicam  Capsules  20 mg (Ge
PICA36550MGEMIS	Piroxicam  Capsules  20 mg (Ke
PICA36551MGEMIS	Piroxicam  Capsules  20 mg (Un
PICA36552MGEMIS	Piroxicam  Capsules  20 mg (Al
PICA36553MGEMIS	Piroxicam  Capsules  20 mg (Th
PICA36554MGEMIS	Piroxicam  Capsules  20 mg (A.
PICA36555MGEMIS	Piroxicam  Capsules  20 mg (Sa
PIDI2281	Piroxicam  Dispersible tablets
PIDI2282	Piroxicam  Dispersible tablets
PIDI36560MGEMIS	Piroxicam  Dispersible tablets
PIDI36561MGEMIS	Piroxicam  Dispersible tablets
PIDI36562MGEMIS	Piroxicam  Dispersible tablets
PIDI36563MGEMIS	Piroxicam  Dispersible tablets
PIIN22461EMIS	Piroxicam  Injection  20 mg/ml
PIME22465EMIS	Piroxicam  Orodispersible tabl
PISU2283	Piroxicam  Suppositories  20 m
PITA34389EMIS	Piroxicam-Beta-Cyclodextrin  T
POCA2306	Ponstan  Capsules  250 mg
PODIEGTON6710	Ponstan Dispersible  Dispersib
POPA2307	Ponstan  Paediatric suspension
POTA2309	Ponstan  Tablets forte  500 mg
PRM/21936EMIS	Pranoxen Continus  M/R tablets
PRM/21937EMIS	Pranoxen Continus  M/R tablets
PRTA18912NEMIS	Prexige  Tablets  100 mg
PRTA18914NEMIS	Prexige  Tablets  400 mg
PRTA22246EMIS	Prosaid  Tablets  250 mg
PRTA22247EMIS	Prosaid  Tablets  500 mg
PRTA2364	Progesic  Tablets  200 mg
PRTA28339EMIS	Preservex  Tablets  100 mg
RATA2430	Ramodar  Tablets  200 mg
REDI14483NEMIS	Relifex  Dispersible tablets  
RESU9873HILLI	Relifex  Suspension  500 mg/5 
RETA2443	Relifex  Tablets  500 mg
RHCA2448	Rheumox  Capsules  300 mg
RHCAEGTON6141	Rheumacin La  M/R capsules  75
RHM/19274NEMIS	Rhumalgan Sr  M/R capsules  75
RHM/19276NEMIS	Rhumalgan Xl  M/R capsules  10
RHM/34588EMIS	Rhumalgan Cr  M/R tablets  100
RHM/34589EMIS	Rhumalgan Cr  M/R tablets  75 
RHM/6447NEMIS	Rheumatac Retard  M/R tablets 
RHM/8969DLSEM	Rhumalgan  M/R tablets  100 mg
RHM/8971DLSEM	Rhumalgan  M/R tablets  75 mg
RHTA2449	Rheumox  Tablets  600 mg
RHTAEGTON6134	Rhumalgan  Tablets  25 mg
RHTAEGTON6135	Rhumalgan  Tablets  50 mg
ROOR469NEMIS	Rofecoxib  Oral suspension  Su
ROOR470NEMIS	Rofecoxib  Oral suspension  Su
ROTA11575NEMIS	Rofecoxib  Tablets  50 mg
ROTA466NEMIS	Rofecoxib  Tablets  12.5 mg
ROTA468NEMIS	Rofecoxib  Tablets  25 mg
SETA20915NEMIS	Seractil  Tablets  300 mg
SETA20916NEMIS	Seractil  Tablets  400 mg
SLCAEGTON6143	Slo-Indo  M/R capsules  75 mg
